elapsed_secs,render_class,identity_lhs,identity_rhs,identity_holds
2770,CONSISTENT,0,699,0
2780,TORN,0,984,
2790,TORN,1000,1375,
2800,CONSISTENT,1000,1767,0
2811,CONSISTENT,0,968,0
2820,CONSISTENT,1000,1311,0
2830,CONSISTENT,1000,1702,0
2840,CONSISTENT,0,910,0
2850,CONSISTENT,1000,1285,0
2860,CONSISTENT,1000,1619,0
2870,TORN,0,817,
2880,CONSISTENT,1000,1202,0
2890,CONSISTENT,1000,1588,0
2900,CONSISTENT,0,743,0
2910,CONSISTENT,1000,1127,0
2920,CONSISTENT,1000,1512,0
2930,CONSISTENT,0,718,0
2940,CONSISTENT,1000,1071,0
2950,CONSISTENT,1000,1460,0
2960,CONSISTENT,0,669,0
2970,CONSISTENT,1000,1055,0
2980,CONSISTENT,1000,1387,0
2990,CONSISTENT,0,628,0
3000,CONSISTENT,0,959,0
3010,CONSISTENT,1000,1234,0
3020,CONSISTENT,0,397,0
3030,TORN,0,796,
3040,CONSISTENT,1000,1174,0
3050,CONSISTENT,1000,1565,0
3061,CONSISTENT,0,921,0
3070,TORN,1000,1118,
3080,TORN,1000,1511,
3090,CONSISTENT,0,712,0
3100,CONSISTENT,1000,1100,0
3110,CONSISTENT,1000,1452,0
3120,CONSISTENT,0,787,0
3130,CONSISTENT,1000,1042,0
3140,TORN,1000,1436,
3150,CONSISTENT,0,775,0
3160,CONSISTENT,0,987,0
3170,CONSISTENT,1000,1379,0
3180,CONSISTENT,0,732,0
3190,TORN,0,939,
3200,CONSISTENT,1000,1334,0
3210,CONSISTENT,0,720,0
3220,CONSISTENT,0,925,0
3230,CONSISTENT,1000,1281,0
3240,CONSISTENT,1000,1680,0
3250,CONSISTENT,0,880,0
3260,CONSISTENT,1000,1266,0
3270,TORN,1000,1614,
3280,CONSISTENT,0,832,0
3290,CONSISTENT,1000,1224,0
3300,CONSISTENT,1000,1611,0
3311,CONSISTENT,0,706,0
3320,CONSISTENT,1000,1064,0
3330,CONSISTENT,1000,1443,0
3340,CONSISTENT,1000,1828,0
3350,CONSISTENT,1000,1024,0
3360,TORN,1000,1373,
3370,TORN,0,582,
3380,TORN,0,972,
3390,CONSISTENT,1000,1360,0
3400,CONSISTENT,1000,1697,0
3410,CONSISTENT,0,888,0
3420,CONSISTENT,1000,1266,0
3430,TORN,1000,1634,
3440,CONSISTENT,0,801,0
3450,CONSISTENT,1000,1183,0
3460,CONSISTENT,1000,1561,0
3470,CONSISTENT,0,765,0
3480,CONSISTENT,1000,1118,0
3490,CONSISTENT,1000,1496,0
3500,CONSISTENT,0,698,0
3510,CONSISTENT,1000,1071,0
3520,CONSISTENT,1000,1443,0
3530,CONSISTENT,0,610,0
3540,TORN,1000,1004,
3550,CONSISTENT,1000,1396,0
3560,TORN,0,609,
3570,TORN,1000,1010,
3580,TORN,1000,1360,
3590,CONSISTENT,1000,1768,0
3600,CONSISTENT,1000,1033,0
3610,CONSISTENT,1000,1306,0
3620,CONSISTENT,0,478,0
3630,CONSISTENT,0,870,0
3640,CONSISTENT,1000,1248,0
3650,CONSISTENT,1000,1631,0
3660,CONSISTENT,0,951,0
3670,CONSISTENT,1000,1187,0
3680,CONSISTENT,1000,1577,0
3690,CONSISTENT,0,883,0
3700,CONSISTENT,1000,1190,0
3710,CONSISTENT,1000,1596,0
