elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490720,
700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499234,
710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507484,
720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511356,
730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520002,
740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528274,
750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533532,
760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541254,
770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544884,
780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553200,
790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561868,
800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570206,
810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575442,
820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583098,
830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591546,
840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596606,
850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604922,
860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613194,
870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620806,
880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625096,
890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633082,
900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637130,
910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642872,
920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650770,
930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657986,
940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664608,
950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671362,
960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680206,
970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687598,
980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694748,
991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700182,
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708190,
1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717144,
1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723722,
1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731290,
1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740266,
1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747702,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753400,
1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762134,
1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770912,
1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776016,
1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784640,
1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793198,
1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796960,
1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805518,
1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814186,
1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818696,
1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827166,
1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834778,
