elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
11580,11779.500,279.297,125.027,404.328,542538
11640,11801.984,281.098,125.027,406.113,544861
11700,11905.703,283.148,125.027,408.180,547667
11760,11683.359,285.012,125.027,410.035,546655
11820,10636.172,286.680,125.027,411.723,554429
11880,11961.406,288.953,125.027,413.988,573082
11940,11811.141,290.770,125.027,415.797,577176
12000,11594.781,292.496,125.027,417.535,579384
12060,10896.641,294.500,125.027,419.527,598980
12120,12026.328,296.414,125.027,421.445,602384
12180,11840.906,298.211,125.027,423.234,609100
12240,11801.547,299.984,125.027,425.020,620002
12300,10383.484,301.895,129.012,430.906,632951
12360,10625.875,303.445,129.012,432.445,636079
12420,10274.219,305.367,129.012,434.398,656020
12480,10248.484,306.840,129.012,435.859,661609
12540,10142.406,308.711,129.012,437.715,680538
12600,10143.797,310.141,129.012,439.145,678491
12660,10218.188,311.883,129.012,440.887,691946
12720,9911.766,313.402,129.012,442.414,707471
12780,9474.656,314.668,129.012,443.691,713405
12840,10593.562,316.305,129.012,445.301,722973
12900,9977.953,317.938,129.012,446.941,738912
12960,8029.766,319.527,129.012,448.559,749722
13020,9861.016,321.195,129.012,450.199,762533
13080,8344.312,322.551,129.012,451.574,774194
13140,8944.656,324.180,129.012,453.191,786338
13200,9130.828,325.680,129.012,454.703,799747
13260,8795.797,327.219,129.012,456.230,812052
13320,8253.031,328.770,129.012,457.781,828658
13380,8732.141,330.387,129.012,459.402,847932
13440,8680.219,331.914,129.012,460.930,860168
13500,10910.969,333.719,129.012,462.734,878844
13560,11440.062,335.488,129.012,464.512,895979
13620,10163.156,336.945,129.012,465.953,896370
13680,11445.391,338.914,129.012,467.918,913413
13741,11627.719,340.527,129.012,469.551,924361
13800,11733.594,342.652,129.012,471.672,934757
13860,11773.172,344.312,129.012,473.316,932549
13920,11720.453,346.266,129.012,475.270,953180
13980,9188.031,347.762,129.012,476.777,946924
14040,10312.688,349.469,129.012,478.484,959597
14100,11401.250,350.859,139.527,490.402,963300
14160,11970.062,353.031,139.527,492.570,977123
14220,11879.094,354.707,139.527,494.246,989589
14280,11563.156,356.457,145.527,501.988,997662
14340,9427.047,357.754,153.527,511.293,1006609
14400,10470.344,359.367,153.527,512.898,1014337
