elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb
9900,6430.609,3.199,125.027,128.234,49312,5955.445,6320.242,517.688,44.250,2143,361,361,358,3,1,0,0,0,0,2,0,0,0,2000,0,0,46000,0,144,3312,2144,357000,357000,0,0,8048354,357000,8048354,8094354,6.453
9960,6431.844,3.406,125.027,128.434,29279,5956.555,6320.242,517.688,44.172,2156,363,363,361,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,273,6279,1273,360000,360000,0,0,8117354,360000,8117354,8140354,6.453
10020,6460.609,3.324,125.027,128.352,34477,5984.164,6320.242,517.688,43.016,2169,365,365,363,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,498,11454,1498,362000,362000,0,0,8163354,362000,8163354,8186354,6.453
10081,6491.266,3.246,125.027,128.273,39767,6030.680,6320.242,499.766,40.938,2182,367,367,365,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,729,16767,1729,364000,364000,0,0,8209354,364000,8209354,8232354,6.453
10140,6523.109,3.145,125.027,128.168,41584,6059.664,6320.242,499.766,38.078,2195,369,369,368,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,895,20585,895,366000,366000,0,0,8255354,367000,8278354,8278354,6.453
10200,6549.828,3.312,125.027,128.340,26105,6095.742,6320.242,488.734,36.422,2208,372,372,370,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,134,3082,1134,369000,369000,0,0,8324354,369000,8324354,8347354,6.453
10260,6580.266,3.426,125.027,128.457,32568,6122.523,6320.242,488.734,32.766,2221,374,374,372,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,272,6256,1272,370000,370000,0,0,8347354,371000,8370354,8393354,6.453
10320,6592.422,3.402,125.027,128.426,34408,6130.383,6320.242,488.734,28.453,2234,376,376,374,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,495,11385,1495,373000,373000,0,0,8416354,373000,8416354,8439354,6.453
10380,6600.250,3.234,125.027,128.262,38686,6134.586,6320.242,488.734,24.844,2247,378,378,376,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,682,15686,1682,375000,375000,0,0,8462354,375000,8462354,8485354,6.453
10440,6608.719,3.309,125.027,128.328,42780,6140.039,6320.242,488.734,21.797,2260,380,380,378,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,860,19780,1860,377000,377000,0,0,8508354,377000,8508354,8531354,6.453
