elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
12360,4750.234,316.574,127.027,443.602,415207
12420,4771.516,318.590,127.027,445.625,414310
12480,4794.359,320.484,127.027,447.520,415299
12540,4819.766,322.781,127.027,449.812,414563
12600,4844.422,324.801,127.027,451.836,433423
12660,4868.750,327.008,127.027,454.016,441542
12720,4896.125,328.949,127.027,455.965,442117
12780,4920.656,331.094,127.027,458.098,443152
12840,4950.875,333.078,127.027,460.074,442646
12900,4974.594,335.031,127.027,462.051,442853
12960,5012.703,337.047,127.027,464.074,440185
13020,5052.875,338.949,127.027,465.973,440208
13080,5078.219,340.973,127.027,467.988,440185
13140,5113.156,343.180,127.027,470.203,439426
13200,5142.484,345.020,127.027,472.062,438943
13260,5166.641,347.035,127.027,474.051,436850
13320,5202.125,349.059,127.027,476.074,437218
13380,5224.297,350.922,127.027,477.973,442922
13440,5242.797,353.184,127.027,480.223,436482
13500,5266.906,355.344,127.027,482.375,456814
13560,5318.266,357.168,143.527,498.684,436091
13620,5360.391,359.461,145.527,504.984,462472
13680,5427.297,361.230,161.527,522.770,447568
13740,5465.500,363.527,163.527,527.055,460816
13800,5515.062,365.473,181.527,546.996,456308
13860,5583.266,367.641,205.527,573.164,461437
13921,5591.219,369.617,205.527,575.137,461299
13980,5624.250,371.637,205.527,577.168,460287
14040,5647.234,373.652,205.527,579.168,460724
14100,5670.609,375.402,205.527,580.922,460310
14160,5693.984,377.770,205.527,583.301,457550
14220,5715.828,379.523,205.527,585.055,456952
14280,5736.078,381.727,205.527,587.242,457527
14340,5761.078,383.879,205.527,589.398,457389
14400,5791.422,385.723,205.527,591.230,456860
