elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
400,13358,12000,12000,0,0,0,0,0,250357,12,13346,12,15,15,27,1358,2,0,1064,15,15,15,13,13,6,1,12000,12,12,12,0,27,0,27,12000,12,12000,12,250357,12,278875,999.9447405703887
410,13753,12000,12000,0,0,0,0,0,250357,12,13741,12,15,15,28,754,1,1000,749,15,15,15,14,14,18,1,12000,12,12,12,0,28,0,28,12000,12,12000,12,250357,12,287191,999.9447405703887
420,14012,13000,13000,0,0,0,0,0,271357,13,13999,13,16,16,29,1012,2,0,1012,16,16,16,14,14,0,1,13000,13,13,13,0,29,0,29,13000,13,13000,13,271357,13,292609,999.9447405703887
430,14392,13000,13000,0,0,0,0,0,271357,13,14379,13,16,16,29,1392,2,0,1012,16,16,16,14,14,10,1,13000,13,13,13,0,29,0,29,13000,13,13000,13,271357,13,300589,999.9447405703887
441,14774,13000,13000,0,0,0,0,0,271357,13,14761,13,16,16,29,1774,2,0,1012,16,16,16,14,14,20,1,13000,13,13,13,0,29,0,29,13000,13,13000,13,271357,13,308764,999.9447405703887
450,14963,14000,14000,0,0,0,0,0,292357,14,14949,14,16,16,30,963,1,1000,932,16,16,16,15,15,28,1,14000,14,14,14,0,30,0,30,14000,14,14000,14,292357,14,312900,999.9447405703887
460,15337,14000,14000,0,0,0,0,0,292357,14,15323,14,17,17,31,1337,2,0,1056,17,17,17,15,15,6,1,14000,14,14,14,0,31,0,31,14000,14,14000,14,292357,14,321128,999.9447405703887
470,15718,14000,14000,0,0,0,0,0,292357,14,15704,14,17,17,31,1718,2,0,1056,17,17,17,15,15,16,1,14000,14,14,14,0,31,0,31,14000,14,14000,14,292357,14,329510,999.9447405703887
480,16015,14000,14000,0,0,0,0,0,292357,14,16001,14,18,18,33,1016,2,0,1016,18,18,18,16,16,2,1,14000,14,14,14,1,33,1,33,14000,14,14000,14,292357,14,336066,999.9447405703887
490,16339,15000,15000,0,0,0,0,0,313714,15,16324,15,18,18,33,1339,2,0,1016,18,18,18,16,16,12,1,15000,15,15,15,1,33,1,33,15000,15,15000,15,313714,15,343172,999.9447405703887
500,16614,15000,15000,0,0,0,0,0,313714,15,16599,15,18,18,34,615,1,1000,612,18,18,18,17,17,20,1,15000,15,15,15,1,34,1,34,15000,15,15000,15,313714,15,349244,999.9447405703887
510,16891,16000,16000,0,0,0,0,0,335714,16,16875,16,18,18,34,893,1,1000,612,18,18,18,17,17,30,1,16000,16,16,16,1,34,1,34,16000,16,16000,16,335714,16,355360,999.9447405703887
520,17282,16000,16000,0,0,0,0,0,335714,16,17266,16,19,19,35,1282,2,0,1069,19,19,19,17,17,4,1,16000,16,16,16,1,35,1,35,16000,16,16000,16,335714,16,363918,999.9447405703887
530,17662,16000,16000,0,0,0,0,0,335714,16,17646,16,19,19,35,1662,2,0,1069,19,19,19,17,17,14,1,16000,16,16,16,1,35,1,35,16000,16,16000,16,335714,16,372344,999.9447405703887
540,17880,17000,17000,0,0,0,0,0,357714,17,17863,17,19,19,36,880,1,1000,796,19,19,19,18,18,24,1,17000,17,17,17,1,36,1,36,17000,17,17000,17,357714,17,377074,999.9447405703887
550,18230,17000,17000,0,0,0,0,0,357714,17,18213,17,20,20,37,1230,2,0,1034,20,20,20,18,18,4,1,17000,17,17,17,1,37,1,37,17000,17,17000,17,357714,17,384774,999.9447405703887
560,18619,17000,17000,0,0,0,0,0,357714,17,18602,17,20,20,37,1619,2,0,1034,20,20,20,18,18,14,1,17000,17,17,17,1,37,1,37,17000,17,17000,17,357714,17,393332,999.9447405703887
570,18971,17000,17000,0,0,0,0,0,357714,17,18954,17,20,20,38,972,1,1000,966,20,20,20,19,19,24,1,17000,17,17,17,1,38,1,38,17000,17,17000,17,357714,17,401098,999.9447405703887
580,19227,18000,18000,0,0,0,0,0,379714,18,19209,18,21,21,39,1227,2,0,1022,21,21,21,19,19,4,1,18000,18,18,18,1,39,1,39,18000,18,18000,18,379714,18,406708,999.9447405703887
590,19608,18000,18000,0,0,0,0,0,379714,18,19590,18,21,21,39,1608,2,0,1022,21,21,21,19,19,14,1,18000,18,18,18,1,39,1,39,18000,18,18000,18,379714,18,415090,999.9447405703887
600,19966,18000,18000,0,0,0,0,0,379714,18,19948,18,21,21,40,967,1,1000,959,21,21,21,20,20,25,1,18000,18,18,18,1,40,1,40,18000,18,18000,18,379714,18,422988,999.9447405703887
610,20167,19000,19000,0,0,0,0,0,401714,19,20148,19,22,22,41,1167,2,0,1019,22,22,22,20,20,2,1,19000,19,19,19,1,41,1,41,19000,19,19000,19,401714,19,427388,999.9447405703887
620,20548,19000,19000,0,0,0,0,0,401714,19,20529,19,22,22,41,1548,2,0,1019,22,22,22,20,20,14,1,19000,19,19,19,1,41,1,41,19000,19,19000,19,401714,19,435770,999.9447405703887
630,20765,20000,20000,0,0,0,0,0,423714,20,20745,20,22,22,42,765,1,1000,652,22,22,22,21,21,24,1,20000,20,20,20,1,42,1,42,20000,20,20000,20,423714,20,440544,999.9447405703887
640,21144,20000,20000,0,0,0,0,0,423714,20,21124,20,23,23,43,1144,2,0,1057,23,23,23,21,21,2,1,20000,20,20,20,1,43,1,43,20000,20,20000,20,423714,20,448926,999.9447405703887
650,21525,20000,20000,0,0,0,0,0,423714,20,21505,20,23,23,43,1525,2,0,1057,23,23,23,21,21,12,1,20000,20,20,20,1,43,1,43,20000,20,20000,20,423714,20,457286,999.9447405703887
660,21804,20000,20000,0,0,0,0,0,423714,20,21784,20,23,23,44,805,1,1000,803,23,23,23,22,22,20,1,20000,20,20,20,1,44,1,44,20000,20,20000,20,423714,20,463424,999.9447405703887
670,22095,21000,21000,0,0,0,0,0,445714,21,22074,21,24,24,45,1095,2,0,1027,24,24,24,22,22,0,1,21000,21,21,21,1,45,1,45,21000,21,21000,21,445714,21,469804,999.9447405703887
680,22480,21000,21000,0,0,0,0,0,445714,21,22459,21,24,24,45,1480,2,0,1027,24,24,24,22,22,12,1,21000,21,21,21,1,45,1,45,21000,21,21000,21,445714,21,478274,999.9447405703887
690,22860,21000,21000,0,0,0,0,0,445714,21,22839,21,24,24,45,1860,2,0,1027,24,24,24,22,22,22,1,21000,21,21,21,1,45,1,45,21000,21,21000,21,445714,21,486634,999.9447405703887
700,23067,22000,22000,0,0,0,0,0,467714,22,23045,22,25,25,47,1067,2,0,1055,25,25,25,23,23,0,1,22000,22,22,22,1,47,1,47,22000,22,22000,22,467714,22,491188,999.9447405703887
710,23417,22000,22000,0,0,0,0,0,467714,22,23395,22,25,25,47,1417,2,0,1055,25,25,25,23,23,8,1,22000,22,22,22,1,47,1,47,22000,22,22000,22,467714,22,498888,999.9447405703887
720,23643,23000,23000,0,0,0,0,0,489714,23,23620,23,25,25,48,643,1,1000,435,25,25,25,24,24,18,1,23000,23,23,23,1,48,1,48,23000,23,23000,23,489714,23,503860,999.9447405703887
730,24043,23000,23000,0,0,0,0,0,489714,23,24020,23,25,25,48,1043,2,1000,435,25,26,25,24,24,28,1,23000,23,23,23,1,48,1,48,23000,23,23000,23,489714,23,512660,999.9447405703887
740,24424,23000,23000,0,0,0,0,0,489714,23,24401,23,26,26,49,1424,2,0,1049,26,26,26,24,24,8,1,23000,23,23,23,1,49,1,49,23000,23,23000,23,489714,23,521042,999.9447405703887
750,24802,23000,23000,0,0,0,0,0,489714,23,24779,23,26,26,49,1802,2,0,1049,26,26,26,24,24,20,1,23000,23,23,23,1,49,1,49,23000,23,23000,23,489714,23,529358,999.9447405703887
760,25145,23000,23000,0,0,0,0,0,489714,23,25122,23,27,27,50,2145,3,0,2022,27,27,27,24,24,2,1,23000,23,23,23,1,50,1,50,23000,23,23000,23,489714,23,536904,999.9447405703887
770,25345,24000,24000,0,0,0,0,0,511714,24,25321,24,27,27,51,1345,2,1000,1187,27,27,27,25,25,12,1,24000,24,24,24,1,51,1,51,24000,24,24000,24,511714,24,541348,999.9447405703887
780,25727,24000,24000,0,0,0,0,0,511714,24,25703,24,27,27,51,1727,2,1000,1187,27,27,27,25,25,22,1,24000,24,24,24,1,51,1,51,24000,24,24000,24,511714,24,549708,999.9447405703887
790,25929,25000,25000,0,0,0,0,0,533714,25,25904,25,27,27,52,929,1,1000,736,27,27,27,26,26,32,1,25000,25,25,25,1,52,1,52,25000,25,25000,25,533714,25,554152,999.9447405703887
