elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
970,30974,28000,28000,0,0,0,0,0,599709,28,30946,28,32,32,62,976,1,1000,703,32,32,32,31,31,28,1,28000,28,28,28,3,62,3,62,28000,28,28000,28,599709,28,665181,999.9447405703887
980,31380,28000,28000,0,0,0,0,0,599709,28,31352,28,33,33,63,1382,2,0,1140,33,33,33,31,31,6,1,28000,28,28,28,3,63,3,63,28000,28,28000,28,599709,28,674113,999.9447405703887
990,31773,28000,28000,0,0,0,0,0,599709,28,31745,28,33,33,63,1775,2,0,1140,33,33,33,31,31,16,1,28000,28,28,28,3,63,3,63,28000,28,28000,28,599709,28,682781,999.9447405703887
1000,31990,29000,29000,0,0,0,0,0,621709,29,31961,29,33,33,64,992,1,1000,840,33,33,33,32,32,26,1,29000,29,29,29,3,64,3,64,29000,29,29000,29,621709,29,687533,999.9447405703887
1010,32356,29000,29000,0,0,0,0,0,621709,29,32327,29,34,34,65,1358,2,0,1058,34,34,34,32,32,6,1,29000,29,29,29,3,65,3,65,29000,29,29000,29,621709,29,695585,999.9447405703887
1020,32744,29000,29000,0,0,0,0,0,621709,29,32715,29,34,34,65,1746,2,0,1058,34,34,34,32,32,16,1,29000,29,29,29,3,65,3,65,29000,29,29000,29,621709,29,704121,999.9447405703887
1030,32948,30000,30000,0,0,0,0,0,643709,30,32918,30,34,34,66,950,1,1000,927,34,34,34,33,33,26,1,30000,30,30,30,3,66,3,66,30000,30,30000,30,643709,30,708609,999.9447405703887
1040,33347,30000,30000,0,0,0,0,0,643709,30,33317,30,35,35,67,1349,2,0,1034,35,35,35,33,33,8,1,30000,30,30,30,3,67,3,67,30000,30,30000,30,643709,30,717387,999.9447405703887
1050,33573,31000,31000,0,0,0,0,0,665709,31,33542,31,35,35,68,575,1,1000,400,35,35,35,34,34,16,1,31000,31,31,31,3,68,3,68,31000,31,31000,31,665709,31,722359,999.9447405703887
1060,33971,31000,31000,0,0,0,0,0,665709,31,33940,31,35,35,68,973,1,1000,400,35,35,35,34,34,28,1,31000,31,31,31,3,68,3,68,31000,31,31000,31,665709,31,731115,999.9447405703887
1070,34314,31000,31000,0,0,0,0,0,665709,31,34283,31,36,36,69,1316,2,0,1046,36,36,36,34,34,6,1,31000,31,31,31,3,69,3,69,31000,31,31000,31,665709,31,738661,999.9447405703887
1080,34571,31000,31000,0,0,0,0,0,665709,31,34540,31,36,36,70,574,1,1000,567,36,36,36,35,35,16,1,31000,31,31,31,3,70,3,70,31000,31,31000,31,665709,31,744337,999.9447405703887
