elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
300,10239,9000,9000,0,0,0,0,0,187355,9,10230,9,12,12,21,1239,2,0,1008,12,12,12,10,10,8,1,9000,9,9,9,3,21,3,21,9000,9,9000,9,187355,9,213374,999.9447405703887
310,10361,10000,10000,0,0,0,0,0,208355,10,10351,10,12,12,22,361,1,1000,342,12,12,12,11,11,18,1,10000,10,10,10,3,22,3,22,10000,10,10000,10,208355,10,215936,999.9447405703887
320,10737,10000,10000,0,0,0,0,0,208355,10,10727,10,12,12,22,737,1,1000,342,12,12,12,11,11,28,1,10000,10,10,10,3,22,3,22,10000,10,10000,10,208355,10,223832,999.9447405703887
330,11077,10000,10000,0,0,0,0,0,208355,10,11067,10,13,13,23,1077,2,0,1065,13,13,13,11,11,0,1,10000,10,10,10,3,23,3,23,10000,10,10000,10,208355,10,230972,999.9447405703887
340,11449,10000,10000,0,0,0,0,0,208355,10,11439,10,13,13,23,1449,2,0,1065,13,13,13,11,11,10,1,10000,10,10,10,3,23,3,23,10000,10,10000,10,208355,10,238784,999.9447405703887
350,11832,10000,10000,0,0,0,0,0,208355,10,11822,10,13,13,23,1832,2,0,1065,13,13,13,11,11,20,1,10000,10,10,10,3,23,3,23,10000,10,10000,10,208355,10,246827,999.9447405703887
360,12170,10000,10000,0,0,0,0,0,208355,10,12160,10,14,14,25,1171,2,1000,1170,14,14,14,12,12,4,1,10000,10,10,10,3,25,3,25,10000,10,10000,10,208355,10,253946,0
370,12460,11000,11000,0,0,0,0,0,229355,11,12449,11,14,14,25,1460,2,1000,1170,14,14,14,12,12,14,1,11000,11,11,11,3,25,3,25,11000,11,11000,11,229355,11,260015,999.9447405703887
380,12762,11000,11000,0,0,0,0,0,229355,11,12751,11,14,14,26,763,1,1000,756,14,14,14,13,13,24,1,11000,11,11,11,3,26,3,26,11000,11,11000,11,229355,11,266378,999.9447405703887
390,13018,12000,12000,0,0,0,0,0,250355,12,13006,12,15,15,27,1018,2,0,1005,15,15,15,13,13,0,1,12000,12,12,12,3,27,3,27,12000,12,12000,12,250355,12,271754,999.9447405703887
400,13398,12000,12000,0,0,0,0,0,250355,12,13386,12,15,15,27,1398,2,0,1005,15,15,15,13,13,10,1,12000,12,12,12,3,27,3,27,12000,12,12000,12,250355,12,279734,999.9447405703887
410,13776,12000,12000,0,0,0,0,0,250355,12,13764,12,15,15,27,1776,2,0,1005,15,15,15,13,13,20,1,12000,12,12,12,3,27,3,27,12000,12,12000,12,250355,12,287672,999.9447405703887
420,13993,13000,13000,0,0,0,0,0,271355,13,13980,13,15,15,28,993,1,1000,967,15,15,15,14,14,30,1,13000,13,13,13,3,28,3,28,13000,13,13000,13,271355,13,292229,999.9447405703887
430,14323,13000,13000,0,0,0,0,0,271355,13,14310,13,16,16,29,1323,2,0,1109,16,16,16,14,14,4,1,13000,13,13,13,3,29,3,29,13000,13,13000,13,271355,13,299138,999.9447405703887
440,14526,14000,14000,0,0,0,0,0,292355,14,14512,14,16,16,30,526,1,1000,497,16,16,16,15,15,16,1,14000,14,14,14,3,30,3,30,14000,14,14000,14,292355,14,303401,999.9447405703887
450,14898,14000,14000,0,0,0,0,0,292355,14,14884,14,16,16,30,898,1,1000,497,16,16,16,15,15,26,1,14000,14,14,14,3,30,3,30,14000,14,14000,14,292355,14,311463,999.9447405703887
460,15274,14000,14000,0,0,0,0,0,292355,14,15260,14,17,17,31,1274,2,0,1030,17,17,17,15,15,6,1,14000,14,14,14,3,31,3,31,14000,14,14000,14,292355,14,319757,999.9447405703887
470,15611,14000,14000,0,0,0,0,0,292355,14,15597,14,17,17,31,1612,2,0,1030,17,17,17,15,15,14,1,14000,14,14,14,3,31,3,31,14000,14,14000,14,292355,14,327171,999.9447405703887
480,15823,15000,15000,0,0,0,0,0,313707,15,15808,15,17,17,32,823,1,1000,712,17,17,17,16,16,26,1,15000,15,15,15,3,32,3,32,15000,15,15000,15,313707,15,331835,999.9447405703887
490,16201,15000,15000,0,0,0,0,0,313707,15,16186,15,18,18,33,1202,2,0,1041,18,18,18,16,16,4,1,15000,15,15,15,3,33,3,33,15000,15,15000,15,313707,15,340173,999.9447405703887
500,16579,15000,15000,0,0,0,0,0,313707,15,16564,15,18,18,33,1579,2,0,1041,18,18,18,16,16,14,1,15000,15,15,15,3,33,3,33,15000,15,15000,15,313707,15,348445,999.9447405703887
510,16876,15000,15000,0,0,0,0,0,313707,15,16861,15,18,18,34,877,1,1000,873,18,18,18,17,17,22,1,15000,15,15,15,3,34,3,34,15000,15,15000,15,313707,15,355001,999.9447405703887
520,17128,16000,16000,0,0,0,0,0,335707,16,17112,16,19,19,35,1128,2,0,1061,19,19,19,17,17,0,1,16000,16,16,16,3,35,3,35,16000,16,16000,16,335707,16,360523,999.9447405703887
530,17507,16000,16000,0,0,0,0,0,335707,16,17491,16,19,19,35,1507,2,0,1061,19,19,19,17,17,12,1,16000,16,16,16,3,35,3,35,16000,16,16000,16,335707,16,368861,999.9447405703887
540,17880,16000,16000,0,0,0,0,0,335707,16,17864,16,19,19,35,1880,2,0,1061,19,19,19,17,17,22,1,16000,16,16,16,3,35,3,35,16000,16,16000,16,335707,16,377067,999.9447405703887
551,18098,17000,17000,0,0,0,0,0,357707,17,18081,17,20,20,37,1098,2,1000,1023,20,20,20,18,18,6,1,17000,17,17,17,3,37,3,37,17000,17,17000,17,357707,17,381863,999.9447405703887
560,18432,17000,17000,0,0,0,0,0,357707,17,18415,17,20,20,37,1432,2,1000,1023,20,20,20,18,18,14,1,17000,17,17,17,3,37,3,37,17000,17,17000,17,357707,17,389211,999.9447405703887
570,18630,18000,18000,0,0,0,0,0,379707,18,18612,18,20,20,38,630,1,1000,549,20,20,20,19,19,24,1,18000,18,18,18,3,38,3,38,18000,18,18000,18,379707,18,393567,999.9447405703887
580,19002,18000,18000,0,0,0,0,0,379707,18,18984,18,20,20,38,1002,2,1000,549,20,21,20,19,19,34,1,18000,18,18,18,3,38,3,38,18000,18,18000,18,379707,18,401751,999.9447405703887
590,19386,18000,18000,0,0,0,0,0,379707,18,19368,18,21,21,39,1386,2,0,1006,21,21,21,19,19,10,1,18000,18,18,18,3,39,3,39,18000,18,18000,18,379707,18,410199,999.9447405703887
600,19718,18000,18000,0,0,0,0,0,379707,18,19700,18,21,21,39,1718,2,0,1006,21,21,21,19,19,18,1,18000,18,18,18,3,39,3,39,18000,18,18000,18,379707,18,417503,999.9447405703887
610,19944,19000,19000,0,0,0,0,0,401707,19,19925,19,21,21,40,944,1,1000,721,21,21,21,20,20,28,1,19000,19,19,19,3,40,3,40,19000,19,19000,19,401707,19,422475,999.9447405703887
620,20318,19000,19000,0,0,0,0,0,401707,19,20299,19,22,22,41,1318,2,0,1068,22,22,22,20,20,6,1,19000,19,19,19,3,41,3,41,19000,19,19000,19,401707,19,430703,999.9447405703887
630,20695,19000,19000,0,0,0,0,0,401707,19,20676,19,22,22,41,1695,2,0,1068,22,22,22,20,20,16,1,19000,19,19,19,3,41,3,41,19000,19,19000,19,401707,19,438997,999.9447405703887
640,20896,19000,19000,0,0,0,0,0,401707,19,20877,19,22,22,42,897,1,1000,894,22,22,22,21,21,26,1,19000,19,19,19,3,42,3,42,19000,19,19000,19,401707,19,443441,999.9447405703887
650,21254,20000,20000,0,0,0,0,0,423707,20,21234,20,23,23,43,1254,2,0,1015,23,23,23,21,21,6,1,20000,20,20,20,3,43,3,43,20000,20,20000,20,423707,20,451295,999.9447405703887
660,21630,20000,20000,0,0,0,0,0,423707,20,21610,20,23,23,43,1630,2,0,1015,23,23,23,21,21,16,1,20000,20,20,20,3,43,3,43,20000,20,20000,20,423707,20,459589,999.9447405703887
670,22008,20000,20000,0,0,0,0,0,423707,20,21988,20,23,23,43,2008,3,0,1015,23,24,23,21,21,26,1,20000,20,20,20,3,43,3,43,20000,20,20000,20,423707,20,467883,999.9447405703887
680,22220,21000,21000,0,0,0,0,0,445707,21,22199,21,24,24,45,1220,2,0,1043,24,24,24,22,22,8,1,21000,21,21,21,4,45,4,45,21000,21,21000,21,445707,21,472547,999.9447405703887
690,22561,21000,21000,0,0,0,0,0,445707,21,22540,21,24,24,45,1561,2,0,1043,24,24,24,22,22,18,1,21000,21,21,21,4,45,4,45,21000,21,21000,21,445707,21,480049,999.9447405703887
700,22767,22000,22000,0,0,0,0,0,467707,22,22745,22,24,24,46,767,1,1000,573,24,24,24,23,23,28,1,22000,22,22,22,4,46,4,46,22000,22,22000,22,467707,22,484581,999.9447405703887
710,23150,22000,22000,0,0,0,0,0,467707,22,23128,22,25,25,47,1150,2,0,1060,25,25,25,23,23,2,1,22000,22,22,22,4,47,4,47,22000,22,22000,22,467707,22,493029,999.9447405703887
720,23523,22000,22000,0,0,0,0,0,467707,22,23501,22,25,25,47,1523,2,0,1060,25,25,25,23,23,12,1,22000,22,22,22,4,47,4,47,22000,22,22000,22,467707,22,501213,999.9447405703887
730,23764,22000,22000,0,0,0,0,0,467707,22,23742,22,25,25,48,765,1,1000,760,25,25,25,24,24,22,1,22000,22,22,22,4,48,4,48,22000,22,22000,22,467707,22,506537,999.9447405703887
740,24061,23000,23000,0,0,0,0,0,489707,23,24038,23,25,25,48,1061,2,1000,760,25,26,25,24,24,30,1,23000,23,23,23,4,48,4,48,23000,23,23000,23,489707,23,513049,999.9447405703887
750,24455,23000,23000,0,0,0,0,0,489707,23,24432,23,26,26,49,1455,2,0,1066,26,26,26,24,24,10,1,23000,23,23,23,4,49,4,49,23000,23,23000,23,489707,23,521717,999.9447405703887
760,24829,23000,23000,0,0,0,0,0,489707,23,24806,23,26,26,49,1829,2,0,1066,26,26,26,24,24,20,1,23000,23,23,23,4,49,4,49,23000,23,23000,23,489707,23,529967,999.9447405703887
770,25045,24000,24000,0,0,0,0,0,511707,24,25021,24,27,27,51,1045,2,0,1030,27,27,27,25,25,0,1,24000,24,24,24,4,51,4,51,24000,24,24000,24,511707,24,534697,999.9447405703887
780,25433,24000,24000,0,0,0,0,0,511707,24,25409,24,27,27,51,1433,2,0,1030,27,27,27,25,25,10,1,24000,24,24,24,4,51,4,51,24000,24,24000,24,511707,24,543233,999.9447405703887
790,25771,24000,24000,0,0,0,0,0,511707,24,25747,24,27,27,51,1771,2,0,1030,27,27,27,25,25,18,1,24000,24,24,24,4,51,4,51,24000,24,24000,24,511707,24,550669,999.9447405703887
800,26089,24000,24000,0,0,0,0,0,511707,24,26065,24,28,28,53,1090,2,1000,1083,28,28,28,26,26,2,1,24000,24,24,24,4,53,4,53,24000,24,24000,24,511707,24,557687,999.9447405703887
810,26358,25000,25000,0,0,0,0,0,533707,25,26333,25,28,28,53,1358,2,1000,1083,28,28,28,26,26,14,1,25000,25,25,25,4,53,4,53,25000,25,25000,25,533707,25,563605,999.9447405703887
820,26594,25000,25000,0,0,0,0,0,533707,25,26569,25,28,28,54,595,1,1000,593,28,28,28,27,27,24,1,25000,25,25,25,4,54,4,54,25000,25,25000,25,533707,25,568797,999.9447405703887
830,26930,25000,25000,0,0,0,0,0,533707,25,26905,25,28,28,54,931,1,1000,593,28,28,28,27,27,34,1,25000,25,25,25,4,54,4,54,25000,25,25000,25,533707,25,576189,999.9447405703887
840,27280,25000,25000,0,0,0,0,0,533707,25,27255,25,29,29,55,1281,2,0,1073,29,29,29,27,27,4,1,25000,25,25,25,4,55,4,55,25000,25,25000,25,533707,25,583889,999.9447405703887
850,27655,25000,25000,0,0,0,0,0,533707,25,27630,25,29,29,55,1656,2,0,1073,29,29,29,27,27,14,1,25000,25,25,25,4,55,4,55,25000,25,25000,25,533707,25,592139,999.9447405703887
