epoch,entered_index,stamped_bytes,refs_at_entry,has_exit_row,exit_kind_variant,unclassified_exit,class_a,class_b,class_c,class_d,class_e,class_f
210,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
211,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
212,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
213,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
214,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
215,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
216,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
217,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
218,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
219,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
220,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
221,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
222,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
223,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
224,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
225,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
226,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
227,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
228,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
229,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
230,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
231,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
232,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
233,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
234,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
235,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
236,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
237,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
238,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
239,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
240,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
241,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
242,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
243,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
244,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
245,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
246,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
247,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
248,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
249,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
250,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
251,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
252,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
253,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
254,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
255,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
256,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
257,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
258,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
259,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
260,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
261,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
262,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
263,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
264,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
265,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
266,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
267,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
268,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
269,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
270,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
271,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
272,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
273,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
274,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
275,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
276,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
277,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
278,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
279,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
280,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
281,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
282,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
283,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
284,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
285,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
286,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
287,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
288,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
289,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
290,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
291,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
292,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
293,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
294,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
295,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
296,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
297,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
298,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
299,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
300,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
301,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
302,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
303,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
304,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
305,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
306,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
307,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
308,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
309,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
310,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
311,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
312,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
313,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
314,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
315,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
316,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
317,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
318,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
319,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
320,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
