elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
12300,10004.531,327.293,125.027,452.316,470590
12360,10109.781,329.090,125.027,454.117,457848
12420,10124.969,331.348,125.027,456.348,471257
12480,10035.531,333.340,125.027,458.355,471556
12540,10117.297,335.320,125.027,460.324,472292
12600,10043.125,337.352,125.027,462.391,471372
12660,10135.250,339.273,125.027,464.305,469739
12720,10200.156,341.078,125.027,466.121,470199
12781,10293.734,343.074,125.027,468.082,470429
12840,10238.266,345.285,125.027,470.312,470268
12900,10290.969,347.234,129.012,476.223,470728
12960,10353.812,349.094,129.012,478.121,474937
13020,10280.234,351.117,129.012,480.129,469716
13080,10097.344,353.258,129.012,482.258,470912
13140,10135.797,355.039,129.012,484.059,472246
13200,10175.688,357.367,129.012,486.379,471487
13260,10294.828,359.426,129.012,488.418,495936
13320,9429.734,361.410,129.012,490.441,496948
13380,9216.781,363.410,129.012,492.398,500490
13440,9296.688,365.441,129.012,494.430,503687
13500,9320.828,367.469,129.012,496.496,506470
13560,9386.062,369.262,129.012,498.266,507390
13620,9527.344,371.410,136.516,507.918,510541
13680,9591.312,373.188,139.527,512.719,513186
13740,9688.750,375.457,153.527,528.988,514589
13800,9819.531,377.355,165.527,542.898,517809
13860,9855.156,379.508,171.527,551.027,542189
13920,10002.953,381.156,191.527,572.688,521558
13980,10055.172,383.512,193.527,577.055,547939
14040,10067.531,385.461,197.527,582.988,549848
14100,10170.781,387.488,201.527,589.012,549365
14161,10308.016,389.457,201.527,590.984,555943
14220,10391.219,391.309,201.527,592.832,557438
14280,10444.312,393.375,201.527,594.895,560566
14340,10510.438,395.520,201.527,597.035,563510
14400,10574.406,397.348,201.527,598.852,566040
14460,10652.766,399.188,201.527,600.711,566569
14520,10705.203,401.207,215.527,616.742,570272
14580,10771.281,403.266,215.527,618.809,589316
14640,10810.062,405.152,217.527,622.680,579702
14700,10872.125,407.188,217.527,624.727,595227
14760,10909.875,409.066,217.527,626.586,598079
14820,10968.688,411.398,217.527,628.918,617284
14880,10906.578,413.352,217.527,630.875,621194
14940,10967.719,415.316,217.527,632.852,627082
15000,11041.844,417.336,217.527,634.855,631544
15060,11027.500,419.156,217.527,636.668,635615
15120,11044.344,421.156,217.527,638.691,641503
15180,10989.594,423.016,217.527,640.559,648012
15240,11010.438,425.047,217.527,642.551,654337
15300,11080.797,426.918,219.527,646.434,660133
15360,11114.938,428.980,219.527,648.508,682282
15420,11172.797,430.832,219.527,650.328,672944
15480,11232.344,433.129,219.527,652.637,703511
